[Thu Sep 24 16:38:54.696 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:38:54.790 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:39:05.568 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:41:57.773 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:41:57.805 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:42:11.754 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:49:52.523 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:49:52.661 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:50:03.104 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:51:51.750 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:51:51.919 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:52:04.898 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:52:58.581 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:52:58.748 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:53:13.514 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:55:08.683 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:55:08.843 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:55:22.861 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:57:19.720 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:57:19.874 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 16:57:34.248 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:04:05.880 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:04:06.007 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:04:20.757 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:30:36.397 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:30:36.491 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:33:20.860 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:33:20.954 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:34:53.267 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:34:53.366 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:37:08.302 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 17:37:08.396 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 18:51:29.321 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 18:51:29.351 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 19:15:11.874 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 19:15:11.911 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 19:16:43.183 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 19:16:43.338 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:11:13.851 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:11:13.927 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:19:49.483 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:19:49.583 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:20:13.271 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:36:55.753 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:36:55.916 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:37:17.724 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:40:47.065 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:40:47.253 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:52:24.823 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:56:17.190 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:56:17.243 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 20:56:35.073 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:30:49.744 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:30:49.793 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:31:03.626 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:32:58.060 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:32:58.237 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:33:21.092 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:35:47.039 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:35:47.091 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:36:04.764 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:40:33.625 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:40:33.662 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:40:45.680 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:42:46.055 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:42:46.209 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:43:00.424 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:48:27.799 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:48:27.859 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 22:48:40.252 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
[Thu Sep 24 23:15:36.082 2009] 0.000 sec [scan/2/rel 0 (0,20)] [user_core] 
